ticker,company_name,exchange,pollution_group,year,quarter,time,province,hq_address_raw,state_own_pct,soe_dummy_final,soe_dummy_keyword,state_own_source,ownership_keywords_hit,state_own_pct_fill0_for_desc,has_state_own_pct,total_assets_best,total_liabilities_best,net_income_best,leverage,roa,loss,revenue_net,cogs,gross_profit,profit_before_tax,profit_after_tax,total_revenue,total_expenses,financial_income_net,other_profit
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2020,1,Q1-2020,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,7768231726.599,4527286854.655,58484466.803,0.5827950316097336,0.007528671757144533,0.0,1573567523.917,1393581779.831,178765551.995,73910543.742,62658415.975,,,-20950721.572,12091828.193
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2020,2,Q2-2020,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,7786584839.414,4544986504.306,67684300.148,0.5836944691465078,0.008692424412483994,0.0,1813708066.994,1627230324.269,183365659.083,76012916.53,74202580.588,,,-17086417.257,351049.381
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2020,3,Q3-2020,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,8206176494.747,4239353049.643,78565203.153,0.516605151297529,0.009573910968560298,0.0,1929838085.125,1719945872.561,207211139.931,100021813.046,86077882.504,,,-8264152.781,-1709627.06
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2020,4,Q4-2020,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,8569613917.893,4545451942.407,57706672.925,0.5304150205549265,0.006733870799536353,0.0,2121135981.877,1910863817.019,207592870.355,69002760.213,60433448.597,,,-13604648.544,-2907898.383
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2021,1,Q1-2021,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,9179385142.444,5051729751.083,75141819.491,0.5503342187620622,0.008185931663718555,0.0,2284373757.361,2044520172.452,239097135.644,106055496.044,89518452.312,,,2788813.113,848117.656
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2021,2,Q2-2021,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,9642310081.327,4430109618.877,83357681.623,0.45944484065661956,0.008644990766727976,0.0,3269796291.844,2910330501.951,354415354.057,117230499.4,92772805.213,,,-4647451.075,-9198752.562
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2021,3,Q3-2021,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,9957115220.854,4659393268.03,62514754.147,0.4679461033323639,0.006278400195276463,0.0,3409264544.303,3089423538.078,317756575.798,93539946.201,67272699.393,,,13447775.87,-1292875.863
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2021,4,Q4-2021,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,9991631928.569,4533249592.064,60517570.104,0.4537046224753449,0.00605682540516355,0.0,4201845098.822,3818147546.774,380688803.247,96809432.071,69875541.074,,,18128527.399,2410034.361
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2022,1,Q1-2022,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,10477077016.93,5103178395.965,88086043.638,0.4870803553050846,0.008407501777037717,0.0,4027853795.475,3634008629.551,393675768.916,122916373.731,96487927.146,,,-19274142.917,734710.228
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,2022,2,Q2-2022,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",,0,1,missing,,0.0,0,10928357909.053,5338776782.033,84622586.641,0.48852506721164235,0.007743394510432263,0.0,4616083413.219,4269180045.101,343029980.637,113705961.032,92404767.028,,,2964386.104,-1776987.859
